onset	duration	value	trial_type	sample
15.128	0.0	91	MI_read_CN_heng	15128
21.078	0.0	92	ME_read_CN_heng	21078
27.628	0.0	11	MI_write_CN_heng	27628
33.578	0.0	12	ME_write_CN_heng	33578
40.378	0.0	101	MI_read_CN_shu	40378
46.328	0.0	102	ME_read_CN_shu	46328
53.144	0.0	161	MI_read_EN_d	53144
59.094	0.0	162	ME_read_EN_d	59094
67.594	0.0	41	MI_write_CN_na	67594
73.544	0.0	42	ME_write_CN_na	73544
80.111	0.0	121	MI_read_CN_na	80111
86.061	0.0	122	ME_read_CN_na	86061
92.727	0.0	21	MI_write_CN_shu	92727
98.677	0.0	22	ME_write_CN_shu	98677
106.71	0.0	151	MI_read_EN_c	106710
112.66	0.0	152	ME_read_EN_c	112660
119.21	0.0	61	MI_write_EN_b	119210
125.16	0.0	62	ME_write_EN_b	125160
131.777	0.0	111	MI_read_CN_pie	131777
137.727	0.0	112	ME_read_CN_pie	137727
144.393	0.0	141	MI_read_EN_b	144393
150.343	0.0	142	ME_read_EN_b	150343
156.993	0.0	71	MI_write_EN_c	156993
162.943	0.0	72	ME_write_EN_c	162943
169.61	0.0	81	MI_write_EN_d	169610
175.56	0.0	82	ME_write_EN_d	175560
182.126	0.0	51	MI_write_EN_a	182126
188.076	0.0	52	ME_write_EN_a	188076
194.659	0.0	31	MI_write_CN_pie	194659
200.609	0.0	32	ME_write_CN_pie	200609
207.176	0.0	131	MI_read_EN_a	207176
213.126	0.0	132	ME_read_EN_a	213126
221.759	0.0	71	MI_write_EN_c	221759
227.709	0.0	72	ME_write_EN_c	227709
234.359	0.0	151	MI_read_EN_c	234359
240.309	0.0	152	ME_read_EN_c	240309
246.859	0.0	51	MI_write_EN_a	246859
252.808	0.0	52	ME_write_EN_a	252808
259.475	0.0	111	MI_read_CN_pie	259475
265.425	0.0	112	ME_read_CN_pie	265425
274.075	0.0	121	MI_read_CN_na	274075
280.025	0.0	122	ME_read_CN_na	280025
286.725	0.0	11	MI_write_CN_heng	286725
292.675	0.0	12	ME_write_CN_heng	292675
299.375	0.0	31	MI_write_CN_pie	299375
305.324	0.0	32	ME_write_CN_pie	305324
312.108	0.0	101	MI_read_CN_shu	312108
318.058	0.0	102	ME_read_CN_shu	318058
327.274	0.0	131	MI_read_EN_a	327274
333.224	0.0	132	ME_read_EN_a	333224
339.724	0.0	161	MI_read_EN_d	339724
345.674	0.0	162	ME_read_EN_d	345674
352.04	0.0	41	MI_write_CN_na	352040
357.99	0.0	42	ME_write_CN_na	357990
365.39	0.0	141	MI_read_EN_b	365390
371.34	0.0	142	ME_read_EN_b	371340
377.974	0.0	61	MI_write_EN_b	377974
383.924	0.0	62	ME_write_EN_b	383924
390.44	0.0	21	MI_write_CN_shu	390440
396.39	0.0	22	ME_write_CN_shu	396390
404.007	0.0	81	MI_write_EN_d	404007
409.956	0.0	82	ME_write_EN_d	409956
416.406	0.0	91	MI_read_CN_heng	416406
422.356	0.0	92	ME_read_CN_heng	422356
